filename,target,metal_Zn,metal_Cu,metal_Co,metal_Cd,metal_Mn,metal_Ni,metal_Fe,metal_Ag,metal_In,metal_Nd,metal_Zr,metal_La,metal_Mg,metal_Ca,metal_W,metal_other,metal_organic,node_CN,node_is_fluorinated,node_is_electron_deficient,node_is_electron_rich,node_is_symmetric,node_is_conjugated,node_is_metalated,node_has_hydrogen_bond_donor,node_has_hydrogen_bond_acceptor,node_is_charged,node_is_photoswitchable,node_has_open_metal_site,edge_CN,edge_length,edge_is_fluorinated,edge_is_electron_deficient,edge_is_electron_rich,edge_is_symmetric,edge_is_conjugated,edge_is_metalated,edge_has_hydrogen_bond_donor,edge_has_hydrogen_bond_acceptor,edge_is_charged,edge_is_photoswitchable,edge_has_open_metal_site,topo_node_CN_min,topo_node_CN_max,topo_edge_CN_min,topo_edge_CN_max,sa,cv,density,vf,di,df,dif
sol+N270+E81,37.01151354900073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,0,2,6.0644,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,2803.28,15890.9,0.725368,0.38884,8.83782,5.97033,8.74561
sow+N164+E71,36.26592744109167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,3.8881,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,3126.32,8026.55,0.826129,0.26278,7.67512,4.76699,7.44962
wif+N270+E154,36.20958885693086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,0,2,7.4352,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,2731.15,28025.7,0.896635,0.25618,9.07285,5.16347,9.07285
wkq+N92+E27,36.189468475352925,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,3.0399,0,0,0,1,0,0,0,1,0,1,0,6,6,2,2,2821.03,10150.6,1.39095,0.318,8.84791,7.67921,8.84791
vmk+N447+E166,36.105333674112615,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,0,2,4.0352,0,0,0,1,1,0,0,1,0,0,0,6,6,2,2,2857.25,14149.1,0.706701,0.29492,8.55849,4.52606,8.14138
qtz-x+N556+E127,36.09142308403694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,0,2,3.3767,0,0,0,1,0,0,0,0,0,0,0,6,6,2,2,3302.29,3215.31,1.25227,0.24976,6.35626,4.87392,6.35626
vbo+N92+E184,35.91559148461474,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,3.658,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,2643.66,12454.7,1.06979,0.2597,8.61904,5.0888,7.78691
snw+N270+E25,35.82697497997388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,0,2,4.5798,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,2407.34,12500.9,0.92207,0.31412,9.63551,8.30123,9.63551
qtz-x+N702+E154,35.738029322427685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,0,2,7.4352,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,2867.03,6021.72,0.630651,0.31498,8.67497,5.98774,8.67497
sxa+N92+E66,35.66601528881302,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,3.8342,0,0,0,1,1,0,0,1,0,0,0,6,6,2,2,2777.8,4528.4,1.28609,0.28868,6.93866,6.03833,6.93866
qtz-x+N447+E70,35.543387525909544,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,0,2,3.5603,0,0,0,1,1,0,0,1,0,0,0,6,6,2,2,3056.66,4636.84,0.828104,0.20126,6.53102,4.91404,6.42469
pcu+N657+E84,35.081957597302726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,4.4397,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,2642.99,1895.44,0.857447,0.22626,6.47881,4.75695,6.47881
whp+N270+E138,35.057087779202085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,0,2,3.6709,0,0,1,1,1,0,1,1,0,0,0,6,6,2,2,2648.92,21089.5,0.964398,0.3034,8.7293,5.3835,8.54776
sxb+N447+E27,34.99980129749553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,0,2,3.0399,0,0,0,1,0,0,0,1,0,1,0,6,6,2,2,2743.72,2354.42,0.854087,0.20692,7.14356,5.6382,7.14356
bcu+N226+E150,34.995758873754525,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,1,0,0,1,2,7.4946,0,0,0,1,1,0,0,0,0,0,0,8,8,2,2,2941.38,5488.54,0.806205,0.31734,7.68012,5.61817,7.20423
wfm+N189+E44,34.85953363208125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,1,0,0,0,0,1,2,3.0402,0,0,0,1,0,0,0,0,0,0,0,8,8,2,2,2858.64,33168.4,0.799435,0.30336,8.48217,4.99459,7.25991
whr+N92+E216,34.767051995055304,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,3.7383,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,2544.56,21850.0,1.08814,0.29142,9.53321,5.9262,9.04527
sda+N170+E160,34.59335991453463,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,5.9331,0,0,0,1,1,0,0,1,0,0,0,6,6,2,2,2966.76,7385.95,0.719155,0.30662,8.15353,5.58304,7.65274
rob+N457+E89,34.54459106980928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,4.3376,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,2767.45,15888.8,0.746855,0.3287,8.42603,6.39853,8.41626
wgw+N354+E70,34.487009770350014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,0,2,3.5603,0,0,0,1,1,0,0,1,0,0,0,6,6,2,2,2909.48,10457.4,1.17104,0.3055,7.88722,6.13838,7.88722
sda+N170+E120,34.45786707771972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,5.2196,0,0,0,1,1,0,0,1,0,0,0,6,6,2,2,3260.06,4968.21,0.819816,0.17036,5.64714,4.66136,5.64714
