filename,uptake,surrogate_pred_g_L,surrogate_rank,iteration
qtz-x+N382+E223,24.662817,31.6293731568976,1,2
qtz-x+N382+E4,21.226506,31.06635288949292,2,2
qtz-x+N382+E165,12.583177,31.014929035372916,3,2
reo+N169+E120,23.970394,26.65737912494933,4,2
reo+N566+E120,20.824553,26.653543616453135,5,2
sxb+N577+E16,29.990661,26.400940832359083,6,2
sxb+N577+E189,22.484051,26.348735856404346,7,2
smk+N341+E165,23.826441,25.45604462080746,8,2
smk+N341+E136,16.570169,25.438367566637226,9,2
osc+N65+E138,18.909952,23.546530540440926,10,2
osc+N567+E138,23.714778,23.52526082655004,11,2
vbn+N146+E79,22.777285,21.37085169848433,19,2
zfu+N482+E107,13.047529,20.645732794266678,26,2
zfu+N482+E205,28.369943,20.558942313828084,27,2
wgb+N482+E49,15.487132,20.213254175364455,34,2
wgb+N383+E49,13.904913,20.175693564747235,37,2
vcb+N572+E138,21.866409,20.148313825735613,40,2
neb+N454+E86,10.018142,19.944800292842046,51,2
wfu+N583+E215,27.516239,19.91117825540755,57,2
umm+N503+E138,12.074827,19.909378170153786,60,2
wju+N364+E215,17.624963,19.908644199369974,61,2
umm+N503+E121,3.955333,19.898831773587062,62,2
gsi+N112+E201,10.896542,19.84417494298441,67,2
gsi+N112+E11,8.437013,19.817313448266987,68,2
vbo+N108+E85,24.030016,19.791294830743027,70,2
vbo+N108+E175,20.848062,19.772546237645656,72,2
wkj+N570+E9,4.947253,19.73628666222112,75,2
wma+N234+E127,23.750062,19.70605574505953,77,2
wkp+N702+E44,25.479942,23.806969087471145,1,3
wkp+N334+E44,23.810194,23.72692104123081,2,3
reo+N120+E120,26.016351,22.736048897669548,3,3
sxb+N577+E190,25.225765,21.819427296747847,4,3
zfu+N383+E205,25.889608,21.67772230000088,6,3
zfu+N242+E205,27.657018,21.6683999343673,7,3
smk+N341+E182,17.786427,21.01901990153459,8,3
vbn+N146+E186,16.810894,20.86673947883645,10,3
vbo+N441+E175,10.627796,20.72424334078977,13,3
wmc+N54+E189,22.89278,20.56348586426077,17,3
