Unnamed: 0,target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
12821,616.9000945,2521.56,38497.5,0.630899,0.52562,11.29941,7.06523,10.16177,ukd+N164+E70,1
15886,610.1423377,2298.01,4542.72,0.820689,0.47476,10.42428,9.36753,10.42428,vmh+N270+E44,2
5991,609.7861563,2185.85,11450.9,0.527975,0.58498,11.33369,8.85478,10.63376,mmt+N164+E202,3
7843,608.0957707,2324.3,3857.54,0.546225,0.56016,9.62244,8.28635,9.60096,qtz+N109+E13,4
14525,607.5325814,2577.98,12230.6,0.484897,0.52072,13.4476,11.56543,13.22887,uon+N164+E150,5
8135,602.7816865,2245.1,12773.6,0.490577,0.56842,10.80911,8.21238,10.72895,qtz-x+N457+E14,6
5905,602.4348522,2595.36,16689.3,0.518399,0.48802,12.22372,10.87154,12.20047,mdf+N164+E218,7
14891,601.9707429,2569.41,9758.89,0.603103,0.48796,10.68268,6.86734,10.67076,upa+N164+E14,10
5903,601.1936458,2272.33,22907.0,0.361515,0.57304,13.99412,12.11284,13.95359,mdf+N158+E11,11
10536,600.4276475,2803.28,15890.9,0.725368,0.38884,8.83782,5.97033,8.74561,sol+N270+E81,12
8620,599.4153077,2438.48,11420.0,0.549907,0.50792,9.07969,7.3498,8.82087,rob+N59+E34,13
11358,599.1355041,2326.74,6084.36,0.491232,0.49624,10.37411,9.17388,9.89309,sxc+N151+E44,14
12849,598.5674386,2377.66,7384.49,0.616913,0.5312,10.55872,7.4036,10.07602,ukg+N109+E19,15
17488,597.9147411,2575.36,12195.0,0.917139,0.41744,11.93503,11.70044,11.9336,wkp+N270+E44,16
8216,595.187207,1980.45,8170.39,0.364136,0.64854,11.98738,9.87278,11.29779,qzd+N164+E107,18
14364,594.9448728,2457.38,11292.6,0.55652,0.51226,12.72605,7.45525,11.19584,uoj+N109+E128,19
8178,594.8286337,2764.28,11485.1,0.491903,0.46318,9.43893,7.00439,9.43893,qtz-x+N694+E32,20
14081,594.6153774,2407.44,22110.6,0.615225,0.52416,13.47434,10.25906,13.27377,unn+N164+E202,21
9570,593.8422026,2419.03,11183.8,0.810958,0.49222,12.92523,12.35021,12.92523,sml+N556+E14,23
10577,593.5957298,2514.04,14377.2,0.549999,0.47312,10.08991,7.63969,9.95027,sow+N109+E150,24
15319,593.4334331,2447.16,21790.7,0.841748,0.44314,10.48383,7.69484,10.40946,vbr+N270+E37,25
7254,593.0500117,2234.31,2561.03,0.445689,0.52162,11.90099,9.86565,11.90099,pcu+N47+E14,27
14189,592.6257387,2126.85,8412.49,0.541527,0.58478,10.1527,9.44949,10.12143,uoc+N109+E19,28
4365,592.5379605,2446.31,23302.3,0.330715,0.58766,10.5419,7.55633,10.37807,hjm+N282+E36,29
8280,592.3713222,2319.83,13339.7,0.496998,0.56046,10.94698,8.76958,10.59038,rac+N164+E120,30
8220,591.9569728,2117.48,9319.26,0.336811,0.59928,12.65042,9.95894,12.65042,qzd+N2+E11,33
2645,591.1980591,2786.32,5748.78,0.578514,0.47624,9.37554,7.50552,8.66843,dmp+N115+E123,35
8561,590.9056602,2204.64,12934.6,0.457274,0.54226,13.43942,10.00803,12.82462,rob+N234+E68,36
14765,590.8535564,2740.66,20035.1,0.667165,0.41224,10.15314,6.21781,9.59529,uou+N164+E48,37
10555,590.4908226,2236.97,33395.9,0.420066,0.5391,13.42261,7.88277,13.19663,sol+N447+E179,38
1362,590.3363107,2386.4,7681.09,0.518467,0.46562,10.86051,8.55662,10.26758,bsn+N162+E19,39
5949,590.1507409,2246.5,25028.6,0.388195,0.5903,11.82288,10.74114,11.63627,mdf+N515+E163,40
629,590.0951239,2484.48,18162.1,0.575729,0.44542,10.46202,7.68014,9.97048,bcg+N389+E47,42
8170,590.0482299,2464.82,8989.17,0.49834,0.49392,10.45314,7.51064,10.44733,qtz-x+N680+E11,43
1375,589.1738376,2145.51,11630.3,0.445655,0.53856,11.60488,10.15582,11.57457,bsn+N274+E202,46
6117,588.8122208,2754.04,14883.6,0.478648,0.47564,10.59798,8.23885,10.24144,mok+N310+E150,47
8091,587.8403475,2674.67,7372.52,0.537039,0.42532,9.02009,6.6434,9.02009,qtz-x+N162+E72,50
9049,587.6484891,2270.4,19634.7,0.438212,0.51612,12.83738,8.80259,10.63958,ske+N162+E127,51
6099,587.3659456,1978.97,21791.6,0.405386,0.64326,13.20029,11.70956,13.03285,mok+N115+E68,52
839,587.3210923,2331.53,7213.34,0.597939,0.51028,10.79471,8.16412,10.76254,bcu+N199+E104,53
1681,587.2968491,2332.94,8553.37,0.440455,0.53558,10.49866,8.36536,9.98234,cdl+N259+E149,54
4114,587.2708524,2155.49,22189.0,0.549666,0.59164,11.60161,9.01979,10.98025,gsi+N109+E66,55
5453,587.1572278,2497.29,8496.22,0.71592,0.48902,9.17271,7.1359,9.16923,lhb+N226+E38,56
15539,586.781214,2403.0,15462.7,0.520644,0.46618,10.52749,8.74531,10.51033,vcz+N151+E19,57
4395,586.7233667,2096.62,26128.8,0.292594,0.6395,12.35534,10.16238,12.12359,hjm+N708+E12,58
11428,586.7138239,2076.59,10590.7,0.413948,0.59916,12.32441,10.303,12.32441,sxc+N591+E53,59
9304,586.4902393,2500.21,13322.9,0.983555,0.42916,10.47788,7.1927,10.18026,smc+N92+E66,60
6138,586.3993683,2312.42,17278.6,0.458257,0.53064,12.22138,8.67182,12.16629,mok+N719+E186,61
8625,586.3983738,2386.13,13932.0,0.419397,0.51276,11.33785,8.40936,11.01557,rob+N613+E150,62
17187,586.2720881,2632.8,29929.6,0.59277,0.48974,11.61962,7.54725,11.42923,wjm+N206+E179,63
16978,586.0722593,2102.18,16269.0,0.562261,0.58946,12.13178,10.67913,11.78221,wje+N164+E66,64
7886,586.0205041,2159.83,5753.43,0.598424,0.54836,10.62458,8.82626,10.62458,qtz+N393+E92,65
7238,585.6590181,2249.79,3193.56,0.590942,0.5336,11.09354,8.4283,10.67825,pcu+N339+E234,67
15043,585.4567542,2697.87,29977.7,0.4824,0.49204,11.01459,9.12669,11.01459,ure+N450+E3,68
10313,585.4057621,2356.73,11483.8,0.778959,0.46088,11.18033,8.59798,10.45457,snx+N92+E72,69
11373,585.3204519,2378.97,7214.51,0.638259,0.4884,10.73235,8.44537,10.58003,sxc+N306+E11,70
6129,585.3164393,2360.54,18216.3,0.448607,0.5746,12.09749,10.5808,12.09749,mok+N371+E189,71
9046,585.3129146,2448.63,21380.3,0.499674,0.47714,11.09842,8.00108,11.09842,ske+N151+E138,72
1742,585.1940485,2766.79,3095.16,0.495641,0.4635,9.36556,8.40794,9.20554,cds+N112+E63,73
15415,585.1014572,2067.98,24456.3,0.423865,0.56418,14.37727,10.0301,14.34674,vby+N274+E202,74
8545,584.9233998,2056.65,20358.7,0.379822,0.59498,12.17479,9.2453,12.17479,rob+N162+E163,76
15755,584.8003528,2219.08,8652.05,0.689274,0.51622,11.85699,8.99225,11.81931,vme+N92+E201,77
9241,584.6890453,2340.03,14583.9,0.846096,0.49758,13.74609,7.24438,13.74609,smb+N92+E37,78
13153,584.6628576,2348.61,22817.8,0.553136,0.52986,13.32434,9.18171,13.20753,umd+N164+E138,79
