target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
411.4960638329873,2803.28,15890.9,0.725368,0.38884,8.83782,5.97033,8.74561,sol+N270+E81,3
403.2065960638039,3126.32,8026.55,0.826129,0.26278,7.67512,4.76699,7.44962,sow+N164+E71,6
402.5802205551826,2731.15,28025.7,0.896635,0.25618,9.07285,5.16347,9.07285,wif+N270+E154,7
402.3565210350002,2821.03,10150.6,1.39095,0.318,8.84791,7.67921,8.84791,wkq+N92+E27,8
401.4211056406549,2857.25,14149.1,0.706701,0.29492,8.55849,4.52606,8.14138,vmk+N447+E166,9
401.2664469273829,3302.29,3215.31,1.25227,0.24976,6.35626,4.87392,6.35626,qtz-x+N556+E127,10
399.3115414365847,2643.66,12454.7,1.06979,0.2597,8.61904,5.0888,7.78691,vbo+N92+E184,11
398.3262982148485,2407.34,12500.9,0.92207,0.31412,9.63551,8.30123,9.63551,snw+N270+E25,12
397.33739545282447,2867.03,6021.72,0.630651,0.31498,8.67497,5.98774,8.67497,qtz-x+N702+E154,13
396.536739426317,2777.8,4528.4,1.28609,0.28868,6.93866,6.03833,6.93866,sxa+N92+E66,14
395.17335714570265,3056.66,4636.84,0.828104,0.20126,6.53102,4.91404,6.42469,qtz-x+N447+E70,16
390.043153564456,2642.99,1895.44,0.857447,0.22626,6.47881,4.75695,6.47881,pcu+N657+E84,21
389.7666495451565,2648.92,21089.5,0.964398,0.3034,8.7293,5.3835,8.54776,whp+N270+E138,22
389.1297352589607,2743.72,2354.42,0.854087,0.20692,7.14356,5.6382,7.14356,sxb+N447+E27,23
389.0847913672291,2941.38,5488.54,0.806205,0.31734,7.68012,5.61817,7.20423,bcu+N226+E150,24
387.5702315622367,2858.64,33168.4,0.799435,0.30336,8.48217,4.99459,7.25991,wfm+N189+E44,26
386.5420155839135,2544.56,21850.0,1.08814,0.29142,9.53321,5.9262,9.04527,whr+N92+E216,27
384.6108973831246,2966.76,7385.95,0.719155,0.30662,8.15353,5.58304,7.65274,sda+N170+E160,29
384.0686826580879,2767.45,15888.8,0.746855,0.3287,8.42603,6.39853,8.41626,rob+N457+E89,30
383.4284905717387,2909.48,10457.4,1.17104,0.3055,7.88722,6.13838,7.88722,wgw+N354+E70,31
383.1044804960366,3260.06,4968.21,0.819816,0.17036,5.64714,4.66136,5.64714,sda+N170+E120,32
382.57196243521474,2503.58,9309.25,1.08395,0.1913,7.60745,4.65772,6.10722,snw+N270+E216,33
381.8796084883029,2705.43,25883.8,0.795918,0.27436,8.69988,4.63958,8.66856,why+N489+E70,35
381.5905851019823,2852.76,22446.2,0.626365,0.35082,8.39276,6.81657,8.37822,bcs+N170+E14,36
381.446175249086,2768.61,25682.1,1.06943,0.3454,9.12479,5.92305,9.12066,sme+N354+E202,37
381.10908001987394,3369.23,12646.4,0.740822,0.36074,8.16558,6.52087,7.61697,hjm+N215+E34,38
381.046727554384,3079.22,3837.66,0.816937,0.24374,6.79499,5.5542,6.79499,bcu+N262+E202,39
379.0895159128403,2484.78,9765.07,0.976102,0.31268,9.523,7.07243,9.17966,vbn+N270+E92,41
379.040225273242,2609.76,6686.2,0.704992,0.28906,8.30303,5.46292,7.57001,bsn+N213+E85,42
378.2046214000182,2604.66,21911.6,1.12601,0.25328,7.68354,6.22447,7.39468,wmc+N270+E186,43
378.0088174733469,2654.65,8846.33,0.601856,0.3627,9.47834,6.20968,9.43963,rob+N613+E85,44
376.7375136973991,2853.0,9277.98,0.873343,0.23424,7.14801,4.55153,7.08941,rob+N195+E84,45
376.6349927154053,2575.36,12195.0,0.917139,0.41744,11.93503,11.70044,11.9336,wkp+N270+E44,46
376.354477033837,2686.94,8035.5,0.623551,0.34416,8.51938,7.29942,8.07679,sxb+N489+E14,47
375.9909792170806,2679.38,8119.76,0.606583,0.34322,9.16746,7.19057,9.15652,qtz-x+N489+E177,48
375.65062759271433,2799.11,16753.3,0.907777,0.22698,7.95347,5.70835,6.62971,ecn+N141+E92,49
374.79761181187246,2508.16,15903.1,0.699639,0.30432,9.24432,6.38074,7.96943,vby+N47+E184,52
374.6194333275327,3290.3,10566.9,0.526891,0.3956,7.66273,5.42746,7.62775,msp+N158+E44,53
